eng,spa,source,otp
notion; idea; information; data; number; intangible information that is not necessarily true {GENITIVE:conceptual; ideal; theoretical; informational},,yor <ìrọ> [ìrɔ̄],il
point; particular time or place {GENITIVE:particular; local},,eng <point> [pʰɔɪ̯nt],poyn
path; line; curve; one-dimensional locus {GENITIVE:linear; curvilinear},,eng <path> [pʰæθ],pas
surface; plane; layer; two-dimensional locus {GENITIVE:planar; superficial; facial},,swa <uso> [uso],us
region; volume; interval; continuous locus bounded on all sides {GENITIVE:regional; volumetric; periodic},,eng <region> [ˈɹʷiːd͡ʒən],wicon
stick; rod; limb; beam; rigid roughly straight one-dimensional object,,pan <ਸੋਟੀ> [soˈʈi],sot
string; thread; wire; hair; thread; flexible one-dimensional object,,hin <तार> [taːr],tal
plate; board; wall; rigid two-dimensional object,,OPPOSITE OF rod,fel
sheet; slip; flexible two-dimensional object,,OPPOSITE OF string,lat
network; net; web; system; collection of interconnected nodes {GENITIVE:web},,spa <red> [reð],let
person; woman; man; human; homo sapien {GENITIVE:personal; humanistic; domesticated},,jav <wong> [wɔŋ],won
personify; humanise; anthropomorphise,,INCOHATIVE OF person,wonki
beast; wild animal; non-human animal {GENITIVE:wild; beastial; animalistic; visceral},,OPPOSITE OF person,yek
baby; infant; newborn; very young and underdeveloped animal {GENITIVE:infantile},,ono [ɡuː ɡaː],kukam
child; youth; girl; boy; adolescent; kid; not fully-grown animal {GENITIVE:juvenile; adolescent},,cmn <儿童> [ɚ˧˥tʰʊŋ˧˥],atun
adult; fully-grown animal {GENITIVE:adult},,OPPOSITE OF youth,alik
senior citizen; elder; very old and decrepit animal {GENITIVE:elder},,OPPOSITE OF baby,ninap
specialist; personnel; qualified; authorised; person with special training and knowledge in a context {GENITIVE:special; technical},,msa <pakar> [pakar],pakal
layperson; civilian; customer; member of the public; person with only general knowledge in a context {GENITIVE:popular; general},,OPPOSITE OF specialist,manat
light; electromagnetic radiation {GENITIVE:photic; optic; luminescient},*luz,spa <luz> [lus],lus
"god; deity; superhuman entity worshiped as having great influence over reality, but not any god in particular {GENITIVE:divine; godly; deific}",,eng <god> [ɡɒd],kot
ground; planet; gravitationally-bound solid mass {GENITIVE:terrestrial; planetary},,hin <भूमि> [b̤uːmi],pum
sky; atmosphere; weather; heavens; the pneumatic space directly above the ground {GENITIVE:celestial; atmospheric; meteorological; aerial},,OPPOSITE OF ground,mip
outer *space; cosmos; the vacuumic space above the atmosphere {GENITIVE:cosmic; astral; interstellar},,cmn <太空> [tʰaɪ̯˥˩kʰʊŋ˥],taykun
sun; star; gravitationally-bound mass of burning plasma {GENITIVE:solar; stellar},,epo <suno> [ˈsuno],sun
moon; satellite; solid object gravitationally orbiting another {GENITIVE:lunar},,OPPOSITE OF sun,fik
ocean; sea; large interconnected bodies of liquid covering most of a planet {GENITIVE:marine; oceanic},,msa <laut> [lawt],lawt
land; landmass; solid surface above and surrounded by ocean {GENITIVE:terrestrial},,OPPOSITE OF ocean,tayl
mountain; large elevated region of a planet's crust {GENITIVE:mountainous; montanical},,nya <phiri> [pʰiɽi],pil
valley; large locally depressed region of a planet's crust {GENITIVE:valley},,OPPOSITE OF mountain,mut
settlement; *city; town; village; dense collection of human homes {GENITIVE:urban; villestial},,cmn <市> [ʂɨ˥˩],cih
storm; tempest; violent and dangerous disturbance of the atmosphere {GENITIVE:stormy; cyclonical},,ben <ঝড়> [d͡ʑ̤ɔɽɔ],col
state; *country; polity; politically independent group of people {GENITIVE:political; national; federal},,hin <देश> [deʃ],tec
culture; nation; tribe; clan; human social group {GENITIVE:cultural; national; tribal; social},,sho <tsika> [t͡sika],sik
art; art {GENITIVE:artistic},,eng <art> [ɑɹt],at
phrase; sentence; meaningful string of words {GENITIVE:phrasal; sentential},,eng <phrase> [fɹʷeɪ̯z],fwes
family; intimate group of people {GENITIVE:familial},,sho <mhuri> [m̤uri],mul
home; place of residence of an individual or family {GENITIVE:domestic},,eng <home> [hoʊ̯m],hom
furniture; large movable equipment used to make a space more livable,,swa <samani> [samani],saman
season; period of time characterised by some thing or event {GENITIVE:seasonal},,ben <ঋতু> [ɽit̪u],lit
reality; possibility; world; dimension; universe; collection of all coexisting things {GENITIVE:realistic; possible; dimensional},,yor <òtítọ́> [òtítɔ́],otit
layout; topography; geography {GENITIVE:topographical; geographical},,eng <layout> [leɪ̯aʊ̯t],leyawt
